"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IEA (2017) Energy Technology Perspectives-offshore-REF-2014,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2014,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2025,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2025,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2030,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2030,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2035,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2035,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2040,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2040,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2045,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2045,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2050,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2050,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2055,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2055,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-REF-2060,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2060,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2014,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2014,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2025,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2025,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2030,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2030,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2035,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2035,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2040,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2040,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2045,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2045,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2050,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2050,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2055,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2055,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-2DS-2060,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2060,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-B2DS-2014,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2014,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-offshore-B2DS-2025,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2025,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2030,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2030,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2035,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2035,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2040,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2040,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2045,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2045,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2050,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2050,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2055,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2055,,,%,1.0,%,,,
IEA (2017) Energy Technology Perspectives-onshore-B2DS-2060,https://www.iea.org/etp2017/,World,,2 - Public Sector/ Multilateral Agency,2060,,,%,1.0,%,,,
DNV GL (2018) Energy Transition Outlook-Likely scenario - onshore,https://eto.dnvgl.com/2018/#132548,World,,2 - Public Sector/ Multilateral Agency,2020,,,%,1.0,%,,,
DNV GL (2018) Energy Transition Outlook-Likely scenario - onshore,https://eto.dnvgl.com/2018/#132549,World,,2 - Public Sector/ Multilateral Agency,2030,,,%,1.0,%,,,
DNV GL (2018) Energy Transition Outlook-Likely scenario - onshore,https://eto.dnvgl.com/2018/#132550,World,,2 - Public Sector/ Multilateral Agency,2040,,,%,1.0,%,,,
DNV GL (2018) Energy Transition Outlook-Likely scenario - onshore,https://eto.dnvgl.com/2018/#132551,World,,2 - Public Sector/ Multilateral Agency,2050,,,%,1.0,%,,,
