"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Pandyaswargo, A.H. & Premakumara, D.G.J. Int J Recycl Org Waste Agricult (2014) 3: 4. doi:10.1007/s40093-014-0066-y",http://link.springer.com/article/10.1007/s40093-014-0066-y,Asia (Sans Japan),China,1  - Peer Reviewed,2014,,7.8,US$2014/tonne,7800000.0,US$2014 per Million Metric t (Organic Waste),,,
"Pandyaswargo, A.H. & Premakumara, D.G.J. Int J Recycl Org Waste Agricult (2014) 3: 4. doi:10.1007/s40093-014-0066-y",http://link.springer.com/article/10.1007/s40093-014-0066-y,Asia (Sans Japan),China,1  - Peer Reviewed,2014,,12.6,US$2014/tonne,12600000.0,US$2014 per Million Metric t (Organic Waste),,,
"Abduli, M. A., Naghib, A., Yonesi, M., & Akbari, A. (2011). Life cycle assessment (LCA) of solid waste management strategies in Tehran: landfill and composting plus landfill. Environmental monitoring and assessment, 178(1-4), 487-498.",http://download.springer.com/static/pdf/46/art%253A10.1007%252Fs10661-010-1707-x.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs10661-010-1707-x&token2=exp=1471449648~acl=%2Fstatic%2Fpdf%2F46%2Fart%25253A10.1007%25252Fs10661-010-1707-x.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs10661-010-1707-x*~hmac=2699096d69d1b17868469e92dd76c92955af913fe8076dc76de9f894267c8f8b,Middle East and Africa,Tehran,1  - Peer Reviewed,2009,,4729305.0,US$2009/tonne,5500000.0,US$2014 per Million Metric t (Organic Waste),,"Compost Revenue. The composting system accepts approximately 617 tons of wastes per day and the costs are for 4,2 years",
"Zurbrügg, C., Drescher, S., Rytz, I., Sinha, A. M. M., & Enayetullah, I. (2005). Decentralised composting in Bangladesh, a win-win situation for all stakeholders. Resources, Conservation and Recycling, 43(3), 281-292.",http://www.sswm.info/sites/default/files/reference_attachments/ZURBRUGG%202004%20Decentralized%20Composting%20Bangladesh.pdf,Asia (Sans Japan),"Bangladesh, Mirpur",1  - Peer Reviewed,2005,,6087.0,US$2005/tonne,6726273.97260274,US$2014 per Million Metric t (Organic Waste),,Revenue. Collection fees. Total fees collected from the households for the waste collection service rendered.,
"Zurbrügg, C., Drescher, S., Rytz, I., Sinha, A. M. M., & Enayetullah, I. (2005). Decentralised composting in Bangladesh, a win-win situation for all stakeholders. Resources, Conservation and Recycling, 43(3), 281-292.",http://www.sswm.info/sites/default/files/reference_attachments/ZURBRUGG%202004%20Decentralized%20Composting%20Bangladesh.pdf,Asia (Sans Japan),"Bangladesh, Mirpur",1  - Peer Reviewed,2005,,9728.0,US$2005/tonne,10749662.10045662,US$2014 per Million Metric t (Organic Waste),,Compost sales,
"Pandyaswargo, A.H. & Premakumara, D.G.J. Int J Recycl Org Waste Agricult (2014) 3: 4. doi:10.1007/s40093-014-0066-y",http://link.springer.com/article/10.1007/s40093-014-0066-y,Asia (Sans Japan),Bali,1  - Peer Reviewed,2014,,53.0,US$2014/tonne,53000000.0,US$2014 per Million Metric t (Organic Waste),,,
"Morin, P. et al. Economic and environmental assessment on the energetic valorization of organic material for a municipality in Quebec, Canada. Applied Energy 87 (2010) 275–283",http://www.usherbrooke.ca/creas/fileadmin/sites/creas/documents/Publications/Articles_scientifiques/Economic_and_environmental_Morin_Marcos_Moresoli_Laflamme_2010.pdf,OECD90,"Quebec, Canada",1  - Peer Reviewed,2010,,56.0,CND2014/tonne,46816000.00000001,US$2014 per Million Metric t (Organic Waste),,,
"Pandyaswargo, A.H. & Premakumara, D.G.J. Int J Recycl Org Waste Agricult (2014) 3: 4. doi:10.1007/s40093-014-0066-y",http://link.springer.com/article/10.1007/s40093-014-0066-y,OECD90,Japan,1  - Peer Reviewed,2014,,70.0,US$2014/tonne,70000000.0,US$2014 per Million Metric t (Organic Waste),,,
"Pandyaswargo, A.H. & Premakumara, D.G.J. Int J Recycl Org Waste Agricult (2014) 3: 4. doi:10.1007/s40093-014-0066-y",http://link.springer.com/article/10.1007/s40093-014-0066-y,Asia (Sans Japan),Indonesia,1  - Peer Reviewed,2014,,106.0,US$2014/tonne,106000000.0,US$2014 per Million Metric t (Organic Waste),,,
Zaman 2016. 10.1016/j.jclepro.2016.02.087,10.1016/j.jclepro.2016.02.086,World,,1  - Peer Reviewed,2016,,255.0,US$2016/tonne,251655730.7342777,US$2014 per Million Metric t (Organic Waste),,Zaman value based on Alibaba search in 2015,1.0
