VMA number,Filename,Title on xls,Has data?,Use weight?,Fixed Mean,Fixed High,Fixed Low
1,Current_Adoption,Current Adoption,True,False,1707910.5,4434288.07025528,-1018467.07025528
2,CONVENTIONAL_First_Cost_per_Implementation_Unit,CONVENTIONAL First Cost per Implementation Unit,True,False,90.10418681818182,161.75267731241902,18.455696323944608
3,SOLUTION_First_Cost_per_Implementation_Unit,SOLUTION First Cost per Implementation Unit,True,False,182.99459999999996,252.43954651089584,113.54965348910409
4,CONVENTIONAL_Lifetime_Capacity,CONVENTIONAL Lifetime Capacity,True,False,18.5,20.0,17.0
5,SOLUTION_Lifetime_Capacity,SOLUTION Lifetime Capacity,True,False,40.0,40.0,40.0
6,CONVENTIONAL_Average_Annual_Use,CONVENTIONAL Average Annual Use,True,False,1.0,1.0,1.0
7,SOLUTION_Average_Annual_Use,SOLUTION Average Annual Use,True,False,1.0,1.0,1.0
8,CONVENTIONAL_Variable_Operating_Cost_VOM_per_Functional_Unit,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,True,False,1.3761,1.3761,1.3761
9,SOLUTION_Variable_Operating_Cost_VOM_per_Functional_Unit,SOLUTION Variable Operating Cost (VOM) per Functional Unit,True,False,0.13912500000000017,0.13912500000000017,0.13912500000000017
10,CONVENTIONAL_Fixed_Operating_Cost_FOM,CONVENTIONAL Fixed Operating Cost (FOM),False,False,,,
11,SOLUTION_Fixed_Operating_Cost_FOM,SOLUTION Fixed Operating Cost (FOM),False,False,,,
12,Electricty_Consumed_per_Functional_Unit_CONVENTIONAL,Electricty Consumed per Functional Unit - CONVENTIONAL,False,False,,,
13,SOLUTION_Energy_Efficiency_Factor,SOLUTION Energy Efficiency Factor,False,False,,,
14,SOLUTION_Total_Energy_Used_per_Functional_Unit,SOLUTION Total Energy Used per Functional Unit,False,False,,,
15,CONVENTIONAL_Fuel_Consumed_per_Functional_Unit,CONVENTIONAL Fuel Consumed per Functional Unit,True,False,0.0006623771951448245,0.0017824941603528186,0.00013859999999999998
16,SOLUTION_Fuel_Efficiency_Factor,SOLUTION Fuel Efficiency Factor,True,False,0.1270555038404907,0.2688193305760912,0.009
17,CONVENTIONAL_Direct_Emissions_per_Functional_Unit,CONVENTIONAL Direct Emissions per Functional Unit,True,False,0.0008500000000000001,0.0008500000000000001,0.0008500000000000001
18,SOLUTION_Direct_Emissions_per_Functional_Unit,SOLUTION Direct Emissions per Functional Unit,False,False,,,
19,CONVENTIONAL_Indirect_CO2_Emissions_per_Unit,CONVENTIONAL Indirect CO2 Emissions per Unit,False,False,,,
20,SOLUTION_Indirect_CO2_Emissions_per_Unit,SOLUTION Indirect CO2 Emissions per Unit,False,False,,,
21,CH4_CO2eq_Tons_Reduced,CH4-CO2eq Tons Reduced,False,False,,,
22,N2O_CO2eq_Tons_Reduced,N2O-CO2eq Tons Reduced,False,False,,,
23,CONVENTIONAL_Revenue_per_Functional_Unit,CONVENTIONAL Revenue per Functional Unit,False,False,,,
24,SOLUTION_Revenue_per_Functional_Unit,SOLUTION Revenue per Functional Unit,False,False,,,
25,Global_Average_Number_of_Floors_Commercial_Buildings,Global Average Number of Floors Commercial Buildings,True,False,3.3772772277227725,3.544554455445545,3.21
26,Global_Average_Number_of_Floors_Residential_Buildings,Global Average Number of Floors Residential Buildings,True,False,8.0,8.0,8.0
27,Operating_and_Maintenance_Costs_per_m2_CONVENTIONAL,Operating and Maintenance Costs per m2 CONVENTIONAL,True,False,0.31075,0.5323686194795014,0.08913138052049868
28,Operating_and_Maintenance_Costs_per_m2_SOLUTION,Operating and Maintenance Costs per m2 SOLUTION,True,False,1.6340000000000003,2.784324606361178,0.4836753936388225
29,STORMWATER_Related_Costs_CONVENTIONAL,STORMWATER Related Costs CONVENTIONAL,True,False,1.06535,2.0053249291869437,0.12537507081305632
30,STORMWATER_Related_Costs_SOLUTION,STORMWATER Related Costs SOLUTION,True,False,7.0,7.0,7.0
31,ENERGY_RELATED_Operating_Cost_Benefits_SOLUTION_per_m2,ENERGY RELATED Operating Cost Benefits SOLUTION (per m2),True,False,0.0,0.0,0.0
