eid,fname,lname,email,phone,hiredate,jobid,salary,comm,mid,did
100,Steven,King,sking@gmail.com,515.123.4567,17-06-1987,AD_PRES,24000,NULL,NULL,90
101,Neena,Kochhar,nkochhar@gmail.com,515.123.4568,21-09-1989,AD_VP,17000,NULL,100,90
102,Lex,De Haan,ldehaan@gmail.com,515.123.4569,13-01-1993,AD_VP,17000,NULL,100,90
103,Alexander,Hunold,ahunold@gmail.com,590.423.4567,03-01-1990,IT_PROG,9000,NULL,102,60
104,Bruce,Ernst,bernst@gmail.com,590.423.4568,21-05-1991,IT_PROG,6000,NULL,103,60
105,David,Austin,daustin@gmail.com,590.423.4569,25-06-1997,IT_PROG,4800,NULL,103,60
106,Valli,Pataballa,vpatabal@gmail.com,590.423.4560,05-02-1998,IT_PROG,4800,NULL,103,60
107,Diana,Lorentz,dlorentz@gmail.com,590.423.5567,07-02-1999,IT_PROG,4200,NULL,103,60
108,Nancy,Greenberg,ngreenbe@gmail.com,515.124.4569,17-08-1994,FI_MGR,12000,NULL,101,100
109,Daniel,Faviet,dfaviet@gmail.com,515.124.4169,16-08-1994,FI_ACCOUNT,9000,NULL,108,100
110,John,Chen,jchen@gmail.com,515.124.4269,28-09-1997,FI_ACCOUNT,8200,NULL,108,100
111,Ismael,Sciarra,isciarra@gmail.com,515.124.4369,30-09-1997,FI_ACCOUNT,7700,NULL,108,100
112,Jose Manuel,Urman,jmurman@gmail.com,515.124.4469,07-03-1998,FI_ACCOUNT,7800,NULL,108,100
113,Luis,Popp,lpopp@gmail.com,515.124.4567,07-12-1999,FI_ACCOUNT,6900,NULL,108,100
114,Den,Raphaely,drapheal@gmail.com,515.127.4561,07-12-1994,PU_MAN,11000,NULL,100,30
115,Alexander,Khoo,akhoo@gmail.co.in,515.127.4562,18-05-1995,PU_CLERK,3100,NULL,114,30
116,Shelli,Baida,sbaida@gmail.com,515.127.4563,24-12-1997,PU_CLERK,2900,NULL,114,30
117,Sigal,Tobias,stobias@gmail.com,515.127.4564,24-07-1997,PU_CLERK,2800,NULL,114,30
118,Guy,Himuro,ghimuro@gmail.com,515.127.4565,15-11-1998,PU_CLERK,2600,NULL,114,30
119,Karen,Colmenares,kcolmena@gmail.com,515.127.4566,10-08-1999,PU_CLERK,2500,NULL,114,30
120,Matthew,Weiss,mweiss@gmail.com,650.123.1234,18-07-1996,ST_MAN,8000,NULL,100,50
121,Adam,Fripp,afripp@gmail.com,650.123.2234,10-04-1997,ST_MAN,8200,NULL,100,50
122,Payam,Kaufling,pkauflin@gmail.com,650.123.3234,01-05-1995,ST_MAN,7900,NULL,100,50
123,Shanta,Vollman,svollman@gmail.com,650.123.4234,10-10-1997,ST_MAN,6500,NULL,100,50
124,Kevin,Mourgos,kmourgos@gmail.com,650.123.5234,16-11-1999,ST_MAN,5800,NULL,100,50
125,Julia,Nayer,jnayer@gmail.com,650.124.1214,16-07-1997,ST_CLERK,3200,NULL,120,50
126,Irene,Mikkilineni,imikkili@gmail.com,650.124.1224,28-09-1998,ST_CLERK,2700,NULL,120,50
127,James,Landry,jlandry@gmail.com,650.124.1334,14-01-1999,ST_CLERK,2400,NULL,120,50
128,Steven,Markle,smarkle@gmail.com,650.124.1434,08-03-2000,ST_CLERK,2200,NULL,120,50
129,Laura,Bissot,lbissot@gmail.com,650.124.5234,20-08-1997,ST_CLERK,3300,NULL,121,50
130,Mozhe,Atkinson,matkinso@gmail.com,650.124.6234,30-10-1997,ST_CLERK,2800,NULL,121,50
131,James,Marlow,jamrlow@gmail.com,650.124.7234,16-02-1997,ST_CLERK,2500,NULL,121,50
132,TJ,Olson,tjolson@gmail.com,650.124.8234,10-04-1999,ST_CLERK,2100,NULL,121,50
133,Jason,Mallin,jmallin@gmail.com,650.127.1934,14-06-1996,ST_CLERK,3300,NULL,122,50
134,Michael,Rogers,mrogers@gmail.com,650.127.1834,26-08-1998,ST_CLERK,2900,NULL,122,50
135,Ki,Gee,kgee@gmail.com,650.127.1734,12-12-1999,ST_CLERK,2400,NULL,122,50
136,Hazel,Philtanker,hphiltan@gmail.com,650.127.1634,06-02-2000,ST_CLERK,2200,NULL,122,50
137,Renske,Ladwig,rladwig@gmail.com,650.121.1234,14-07-1995,ST_CLERK,3600,NULL,123,50
138,Stephen,Stiles,sstiles@gmail.com,650.121.2034,26-10-1997,ST_CLERK,3200,NULL,123,50
139,John,Seo,jseo@gmail.com,650.121.2019,12-02-1998,ST_CLERK,2700,NULL,123,50
140,Joshua,Patel,jpatel@gmail.com,650.121.1834,06-04-1998,ST_CLERK,2500,NULL,123,20
141,Trenna,Rajs,trajs@gmail.com,650.121.8009,17-10-1995,ST_CLERK,3500,NULL,124,20
142,Curtis,Davies,cdavies@gmail.com,650.121.2994,29-01-1997,ST_CLERK,3100,NULL,124,50
143,Randall,Matos,rmatos@gmail.com,650.121.2874,15-03-1998,ST_CLERK,2600,NULL,124,50
144,Peter,Vargas,pvargas@gmail.com,650.121.2004,09-07-1998,ST_CLERK,2500,NULL,124,50
145,John,Russell,jrussel@gmail.com,011.44.1344.429268,01-10-1996,SA_MAN,14000,0.4,100,80
146,Karen,Partners,kpartner@gmail.com,011.44.1344.467268,05-01-1997,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,aerrazur@gmail.com,011.44.1344.429278,10-03-1997,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,gcambrau@gmail.com,011.44.1344.619268,15-10-1999,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,ezlotkey@gmail.com,011.44.1344.429018,29-01-2000,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,ptucker@gmail.com,011.44.1344.129268,30-01-1997,SA_REP,10000,0.3,145,80
151,David,Bernstein,dbernste@gmail.com,011.44.1344.345268,24-03-1997,SA_REP,9500,0.25,145,80
152,Peter,Hall,phall@gmail.com,011.44.1344.478968,20-08-1997,SA_REP,9000,0.25,145,80
153,Christopher,Olsen,colsen@gmail.com,011.44.1344.498718,30-03-1998,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,ncambrau@gmail.com,011.44.1344.987668,09-12-1998,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,otuvault@gmail.com,011.44.1344.486508,23-11-1999,SA_REP,7000,0.15,145,80
156,Janette,King,jking@gmail.com,011.44.1345.429268,30-01-1996,SA_REP,10000,0.35,146,80
157,Patrick,Sully,psully@gmail.com,011.44.1345.929268,04-03-1996,SA_REP,9500,0.35,146,80
158,Allan,McEwen,amcewen@gmail.com,011.44.1345.829268,01-08-1996,SA_REP,9000,0.35,146,80
