"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Drawdown Team based on US price data from the US EIA and non-US data from numbeo.com for 4 market segments of Electric vehicles,"EIA (2016), numbeo.com (2016) http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2016",World,For Midsized EV (eg Nissan Leaf),5 - Not Verified,2016,,45608.8546717985,US$2013,46521.031765234475,US2014$/vehicle,,For Midsized EV (eg Nissan Leaf),True
Drawdown Team based on US price data from the US EIA and non-US data from numbeo.com for 4 market segments of Electric vehicles,"EIA (2016), numbeo.com (2016) http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2017",World,For Compact EV (eg. Chevy Volt),5 - Not Verified,2016,,37516.96110099554,US$2013,38267.30032301545,US2014$/vehicle,,For Compact EV (eg. Chevy Volt),True
Drawdown Team based on US price data from the US EIA and non-US data from numbeo.com for 4 market segments of Electric vehicles,"EIA (2016), numbeo.com (2016) http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2018",World,Small Utility EV (eg. Volkswagen Touareg PHEV),5 - Not Verified,2016,,47710.645209669405,US$2013,48664.85811386279,US2014$/vehicle,,Small Utility EV (eg. Volkswagen Touareg PHEV),True
Drawdown Team based on US price data from the US EIA and non-US data from numbeo.com for 4 market segments of Electric vehicles,"EIA (2016), numbeo.com (2016) http://www.eia.gov/beta/aeo/#/?id=114-AEO2015&cases=ref2015, Accessed June 15, 2019",World,Large EV (eg. Tesla S),5 - Not Verified,2016,,72932.13166412018,US$2013,74390.77429740259,US2014$/vehicle,,Large EV (eg. Tesla S),True
"IEA (2019), ""Global EV Outlook 2019"", IEA, Paris, www.iea.org/publications/reports/globalevoutlook2019/",,World,,2 - Public Sector/ Multilateral Agency,2019,,35600.0,US$2017,34384.87486842213,US2014$/vehicle,1.0,,
"Coren (2019) The media electric car in the US is getting cheaper, https://qz.com/1695602/the-average-electric-vehicle-is-getting-cheaper-in-the-us/",https://qz.com/1695602/the-average-electric-vehicle-is-getting-cheaper-in-the-us/,OECD90,US,3 - For Profit,2019,,55600.0,US$2019,52417.979586391455,US2014$/vehicle,0.09810289968181546,,
WattEV2Buy (2020) Ranking Electric Cars in China by Price and Range - Chinese EV Price List,https://wattev2buy.com/china-ev-price-list-rank-chinese-electric-cars-by-range-and-price/,Asia (Sans Japan),China,3 - For Profit,2019,,180000.0,RMB,24597.264427120317,US2014$/vehicle,0.1534790178303416,,
"Lutney & Nicholas (2019) Update on electric vehicle costs  in the United States through 2030, Working paper, the International Council on Clean Transport.",https://theicct.org/sites/default/files/publications/EV_cost_2020_2030_20190401.pdf,OECD90,US - Cars,3 - For Profit,2019,,38133.0,US$2019,35950.62617927815,US2014$/vehicle,0.09810289968181546,,
"Brasor & Tsubuku (2018) Electric vehicles are here, but are they practical and economical?, Japan Times, https://www.japantimes.co.jp/news/2018/01/12/national/electric-vehicles-practical-economical/#.XeBu3ehKhPY",https://www.japantimes.co.jp/news/2018/01/12/national/electric-vehicles-practical-economical/#.XeBu3ehKhPY,OECD90,Japan,3 - For Profit,2019,,3150000.0,2019JPY,27177.800201862003,US2014$/vehicle,0.06110343999519721,,
WattEV2Buy (2020) EUROPEAN EV PRICELIST Ranking electric cars the EU by price and range,https://wattev2buy.com/european-ev-market-price-list-electric-cars-eu/,OECD90,EU,3 - For Profit,2019,,43825.833333333336,Euro2019,46319.24015662231,US2014$/vehicle,0.1820375817974425,"Average of top 4 models in 2019 according to (https://cleantechnica.com/2019/10/30/tesla-model-3-breaks-records-in-hot-market-europe-ev-sales-report/): Tesla Model 3, Mitsubishi Outlander PHEV, Renault Zoe, BMW i3.",
"Sheldon & Dia (2020) Effectiveness of China's Plug-in electric vehicle subsidy, Energy Economics, https://doi.org/10.1016/j.eneco.2020.104773",,Asia (Sans Japan),China,1  - Peer Reviewed,2020,,21804.08,US$2019,20556.2197902886,US2014$/vehicle,0.1534790178303416,,
Jato (2019) EV prices have been growing during the last 8 years,https://www.jato.com/ev-prices-have-been-growing-during-the-last-8-years/,China,China,2 - Public Sector/ Multilateral Agency,2019,,181317.0,RMB (2019),25822.172518103296,US2014$/vehicle,,Average retail price of unit sold jan-oct 2019,
Jato (2019) EV prices have been growing during the last 8 years,https://www.jato.com/ev-prices-have-been-growing-during-the-last-8-years/,USA,US,2 - Public Sector/ Multilateral Agency,2019,,51691.0,USD (2019),48732.69393525469,US2014$/vehicle,,Average retail price of unit sold jan-oct 2020,
Jato (2019) EV prices have been growing during the last 8 years,https://www.jato.com/ev-prices-have-been-growing-during-the-last-8-years/,EU,EU,2 - Public Sector/ Multilateral Agency,2019,,45835.0,Euro2019,48442.71542839155,US2014$/vehicle,,Average retail price of unit sold jan-oct 2021,
"the Guardian. (2021, May 9). Electric cars ‘will be cheaper to produce than fossil fuel vehicles by 2027.’",https://www.theguardian.com/business/2021/may/09/electric-cars-will-be-cheaper-to-produce-than-fossil-fuel-vehicles-by-2027,OECD90,UK,2 - Public Sector/ Multilateral Agency,2020,,33300.0,Euro2021,35091.16970399999,US2014$/vehicle,,,
