"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Glenn et al., 1993 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Canada,,1  - Peer Reviewed,,,0.2,Kg CH4/ha/yr,0.005600000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Glenn et al., 1993 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Canada,,1  - Peer Reviewed,,,-0.6,Kg CH4/ha/yr,-0.016800000000000002,t CH4-CO2-eq / ha / year,,Table 3.4,
"Glenn et al., 1993 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Canada,,1  - Peer Reviewed,,,-1.6,Kg CH4/ha/yr,-0.044800000000000006,t CH4-CO2-eq / ha / year,,Table 3.4,
"Nykänen et al., 1995 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Eastern Finland,,1  - Peer Reviewed,,,1.0,Kg CH4/ha/yr,0.028,t CH4-CO2-eq / ha / year,,Table 3.4,
"Langeveld et al., 1997 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Netherlands,,1  - Peer Reviewed,,,-0.3,Kg CH4/ha/yr,-0.008400000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Flessa et al., 1998 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Southern Germany,,1  - Peer Reviewed,,,-1.2,Kg CH4/ha/yr,-0.033600000000000005,t CH4-CO2-eq / ha / year,,Table 3.4,
"Flessa et al., 1998 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Southern Germany,,1  - Peer Reviewed,,,-0.2,Kg CH4/ha/yr,-0.005600000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Flessa et al., 1998 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Southern Germany,,1  - Peer Reviewed,,,-0.3,Kg CH4/ha/yr,-0.008400000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Van den Pol-van Dasselaar et al., 1999 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Netherlands,,1  - Peer Reviewed,,,-0.1,Kg CH4/ha/yr,-0.0028000000000000004,t CH4-CO2-eq / ha / year,,Table 3.4,
"Meyer, 1999; Meyer et al., 2001 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,NW Germany,,1  - Peer Reviewed,,,-0.4,Kg CH4/ha/yr,-0.011200000000000002,t CH4-CO2-eq / ha / year,,Table 3.4,
"Meyer, 1999; Meyer et al., 2001 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,NW Germany,,1  - Peer Reviewed,,,-1.2,Kg CH4/ha/yr,-0.033600000000000005,t CH4-CO2-eq / ha / year,,Table 3.4,
"Maljanen et al., 2003a (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Eastern Finland,,1  - Peer Reviewed,,,-4.9,Kg CH4/ha/yr,-0.13720000000000002,t CH4-CO2-eq / ha / year,,Table 3.4,
"Maljanen et al., 2003a (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Eastern Finland,,1  - Peer Reviewed,,,-1.1,Kg CH4/ha/yr,-0.030800000000000004,t CH4-CO2-eq / ha / year,,Table 3.4,
"Maljanen et al., 2004 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Western Finland,,1  - Peer Reviewed,,,-1.8,Kg CH4/ha/yr,-0.0504,t CH4-CO2-eq / ha / year,,Table 3.4,
"Maljanen et al., 2004 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Western Finland,,1  - Peer Reviewed,,,-2.5,Kg CH4/ha/yr,-0.07,t CH4-CO2-eq / ha / year,,Table 3.4,
"Regina et al., 2007 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Southern Finland,,1  - Peer Reviewed,,,-0.5,Kg CH4/ha/yr,-0.014,t CH4-CO2-eq / ha / year,,Table 3.4,
"Regina et al., 2007 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Southern Finland,,1  - Peer Reviewed,,,-0.3,Kg CH4/ha/yr,-0.008400000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Regina et al., 2007 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Northern Finland,,1  - Peer Reviewed,,,-0.2,Kg CH4/ha/yr,-0.005600000000000001,t CH4-CO2-eq / ha / year,,Table 3.4,
"Regina et al., 2007 (Strack 2008)",http://www.peatsociety.org/sites/default/files/files/PeatlandsandClimateChangeBookIPS2008.pdf,OECD90,Northern Finland,,1  - Peer Reviewed,,,3.6,Kg CH4/ha/yr,0.1008,t CH4-CO2-eq / ha / year,,Table 3.4,
