"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
REN21 2015_USA,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,USA,USA,2 - Public Sector/ Multilateral Agency,2014,,3800.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015_Japan,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,Japan,2 - Public Sector/ Multilateral Agency,2014,,3350.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_Australia,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2014,,1700.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_China,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,Asia (Sans Japan),China,2 - Public Sector/ Multilateral Agency,2014,,1400.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_France,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,EU,France,2 - Public Sector/ Multilateral Agency,2014,,2700.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_Germany,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,EU,Germany,2 - Public Sector/ Multilateral Agency,2014,,1800.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_Italy,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,EU,Italy,2 - Public Sector/ Multilateral Agency,2014,,1900.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_japan,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,OECD90,Japan,2 - Public Sector/ Multilateral Agency,2014,,3600.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_UK,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,EU,UK,2 - Public Sector/ Multilateral Agency,2014,,2400.0,US$2014/kW,,US$2014/kW,,,True
IEA Roadmap 2014_USA,https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html,USA,,2 - Public Sector/ Multilateral Agency,2014,,4500.0,US$2014/kW,,US$2014/kW,,,True
GTM research Q4 2014_USA,http://www.seia.org/research-resources/solar-market-insight-report-2014-q4,USA,,2 - Public Sector/ Multilateral Agency,2014,,2250.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,EU,Germany,2 - Public Sector/ Multilateral Agency,2014,,2200.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,USA,USA,2 - Public Sector/ Multilateral Agency,2014,,5250.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,Japan,2 - Public Sector/ Multilateral Agency,2014,,4260.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,China,China,2 - Public Sector/ Multilateral Agency,2014,,2150.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,OECD90,Australia,2 - Public Sector/ Multilateral Agency,2014,,3380.0,US$2014/kW,,US$2014/kW,,,True
REN21 2015,http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,EU,Italy,2 - Public Sector/ Multilateral Agency,2014,,2700.0,US$2014/kW,,US$2014/kW,,,True
IRENA 2014 (Figure 5.11),https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,EU,Germany,2 - Public Sector/ Multilateral Agency,2014,,2200.0,US$2014/kW,,US$2014/kW,,,True
IRENA 2014 (Figure 5.11),https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,USA,USA (not California),2 - Public Sector/ Multilateral Agency,2014,,4300.0,US$2014/kW,,US$2014/kW,,,True
IRENA 2014 (Figure 5.11),https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,EU,Italy,2 - Public Sector/ Multilateral Agency,2014,,3300.0,US$2014/kW,,US$2014/kW,,,True
IRENA 2014 (Figure 5.11),https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,EU,France,2 - Public Sector/ Multilateral Agency,2014,,5100.0,US$2014/kW,,US$2014/kW,,,True
IRENA 2014 (Figure 5.11),https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,EU,UK,2 - Public Sector/ Multilateral Agency,2014,,2950.0,US$2014/kW,,US$2014/kW,,,True
IRENA 2014 (Figure 5.11),https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,China,China,2 - Public Sector/ Multilateral Agency,2014,,2200.0,US$2014/kW,,US$2014/kW,,,True
